n,value1,time1,value2,time2,value3,time3,averageTime
100,2559,2,2559,1,2559,4,2.333333
101,2559,2,2559,4,2559,1,2.333333
102,2559,1,2559,1,2559,1,1.000000
103,2559,1,2559,1,2559,2,1.333333
104,2559,1,2559,1,2559,1,1.000000
105,2559,1,2559,1,2559,2,1.333333
106,2559,2,2559,1,2559,1,1.333333
107,2559,2,2559,1,2559,1,1.333333
108,2559,1,2559,1,2559,1,1.000000
109,2559,1,2559,1,2559,1,1.000000
110,2559,1,2559,2,2559,1,1.333333
111,2693,1,2693,1,2693,1,1.000000
112,2693,1,2693,2,2693,1,1.333333
113,2693,1,2693,1,2693,2,1.333333
114,2754,2,2754,1,2754,2,1.666667
115,2754,1,2754,1,2754,2,1.333333
116,2754,3,2754,1,2754,2,2.000000
117,2754,2,2754,2,2754,1,1.666667
118,2754,2,2754,1,2754,2,1.666667
119,2754,1,2754,2,2754,2,1.666667
120,2754,2,2754,1,2754,1,1.333333
121,2754,1,2754,2,2754,1,1.333333
122,2754,1,2754,2,2754,1,1.333333
123,2754,1,2754,2,2754,1,1.333333
124,2754,1,2754,2,2754,1,1.333333
125,2754,1,2754,2,2754,2,1.666667
126,2754,2,2754,1,2754,2,1.666667
127,2754,2,2754,1,2754,2,1.666667
128,2754,2,2754,1,2754,1,1.333333
129,2754,2,2754,1,2754,1,1.333333
130,2754,2,2754,1,2754,1,1.333333
131,2754,1,2754,2,2754,2,1.666667
132,2754,2,2754,1,2754,2,1.666667
133,2754,2,2754,1,2754,2,1.666667
134,2754,1,2754,2,2754,1,1.333333
135,2754,2,2754,2,2754,1,1.666667
136,2754,2,2754,2,2754,1,1.666667
137,2754,2,2754,1,2754,2,1.666667
138,2754,1,2754,2,2754,2,1.666667
139,2754,2,2754,2,2754,2,2.000000
140,2754,1,2754,2,2754,2,1.666667
141,2754,1,2754,2,2754,1,1.333333
142,2754,2,2754,2,2754,2,2.000000
143,2754,2,2754,2,2754,2,2.000000
144,2754,2,2754,2,2754,1,1.666667
145,2754,2,2754,1,2754,2,1.666667
146,2754,2,2754,2,2754,2,2.000000
147,2754,2,2754,1,2754,2,1.666667
148,2754,2,2754,2,2754,2,2.000000
149,2754,3,2754,2,2754,2,2.333333
150,2754,3,2754,1,2754,2,2.000000
151,2754,3,2754,2,2754,2,2.333333
152,2754,3,2754,3,2754,3,3.000000
153,2754,3,2754,3,2754,2,2.666667
154,2754,3,2754,3,2754,2,2.666667
155,2754,3,2754,3,2754,3,3.000000
156,2754,2,2754,2,2754,2,2.000000
157,2754,4,2754,4,2754,4,4.000000
158,2754,3,2754,5,2754,3,3.666667
159,2754,3,2754,3,2754,4,3.333333
160,2754,2,2754,2,2754,2,2.000000
161,2754,2,2754,3,2754,2,2.333333
162,2754,3,2754,2,2754,2,2.333333
163,2754,3,2754,2,2754,3,2.666667
164,2754,4,2754,2,2754,2,2.666667
165,2754,4,2754,4,2754,3,3.666667
166,2754,2,2754,3,2754,2,2.333333
167,2754,4,2754,3,2754,2,3.000000
168,2754,4,2754,3,2754,4,3.666667
169,2754,2,2754,3,2754,2,2.333333
170,2754,3,2754,4,2754,4,3.666667
171,2754,3,2754,4,2754,2,3.000000
172,2754,2,2754,2,2754,2,2.000000
173,2754,3,2754,2,2754,2,2.333333
174,2754,2,2754,2,2754,2,2.000000
175,2754,2,2754,2,2754,2,2.000000
176,2754,2,2754,3,2754,2,2.333333
177,2754,2,2754,2,2754,2,2.000000
178,2754,2,2754,2,2754,3,2.333333
179,2754,2,2754,2,2754,2,2.000000
180,2754,2,2754,2,2754,2,2.000000
181,2754,3,2754,2,2754,2,2.333333
182,2754,2,2754,3,2754,2,2.333333
183,2754,3,2754,2,2754,2,2.333333
184,2754,2,2754,2,2754,2,2.000000
185,2754,2,2754,4,2754,3,3.000000
186,2754,2,2754,3,2754,2,2.333333
187,2754,2,2754,2,2754,3,2.333333
188,2754,2,2754,2,2754,3,2.333333
189,2754,3,2754,2,2754,3,2.666667
190,2754,2,2754,2,2754,3,2.333333
191,2772,3,2772,2,2772,3,2.666667
192,2772,2,2772,3,2772,2,2.333333
193,2772,3,2772,3,2772,3,3.000000
194,2772,3,2772,2,2772,2,2.333333
195,2801,2,2801,2,2801,2,2.000000
196,2801,2,2801,2,2801,3,2.333333
197,2801,3,2801,3,2801,2,2.666667
198,2801,3,2801,3,2801,2,2.666667
199,2801,2,2801,3,2801,3,2.666667
200,2801,2,2801,2,2801,3,2.333333
201,2801,2,2801,3,2801,3,2.666667
202,2801,2,2801,3,2801,2,2.333333
203,2801,3,2801,3,2801,2,2.666667
204,2801,5,2801,2,2801,3,3.333333
205,2801,3,2801,3,2801,2,2.666667
206,2801,3,2801,3,2801,2,2.666667
207,2801,3,2801,3,2801,2,2.666667
208,2801,3,2801,2,2801,4,3.000000
209,2801,3,2801,3,2801,2,2.666667
210,2801,3,2801,3,2801,4,3.333333
211,2801,2,2801,3,2801,3,2.666667
212,2801,4,2801,5,2801,4,4.333333
213,2801,3,2801,3,2801,4,3.333333
214,2801,4,2801,2,2801,3,3.000000
215,2801,4,2801,4,2801,3,3.666667
216,2801,3,2801,3,2801,3,3.000000
217,2801,3,2801,3,2801,3,3.000000
218,2801,3,2801,3,2801,2,2.666667
219,2801,3,2801,3,2801,3,3.000000
220,2801,4,2801,4,2801,3,3.666667
221,2801,4,2801,3,2801,4,3.666667
222,2801,3,2801,2,2801,3,2.666667
223,2801,3,2801,4,2801,3,3.333333
224,2801,3,2801,4,2801,3,3.333333
225,2801,4,2801,3,2801,3,3.333333
226,2837,3,2837,4,2837,3,3.333333
227,2837,3,2837,3,2837,3,3.000000
228,2837,3,2837,4,2837,2,3.000000
229,2837,3,2837,3,2837,4,3.333333
230,2837,3,2837,3,2837,3,3.000000
231,2837,3,2837,4,2837,4,3.666667
232,2837,4,2837,3,2837,4,3.666667
233,2837,4,2837,4,2837,5,4.333333
234,2837,7,2837,4,2837,7,6.000000
235,2837,6,2837,8,2837,8,7.333333
236,2837,9,2837,9,2837,7,8.333333
237,2837,5,2837,6,2837,10,7.000000
238,2837,6,2837,9,2837,8,7.666667
239,2837,9,2837,5,2837,6,6.666667
240,2837,7,2837,18,2837,11,12.000000
241,2837,5,2837,4,2837,5,4.666667
242,2837,4,2837,4,2837,4,4.000000
243,2837,4,2837,3,2837,4,3.666667
244,2914,5,2914,3,2914,4,4.000000
245,2914,4,2914,6,2914,4,4.666667
246,2948,3,2948,5,2948,3,3.666667
247,2948,4,2948,5,2948,4,4.333333
248,2948,5,2948,4,2948,4,4.333333
249,2948,4,2948,4,2948,4,4.000000
250,2948,4,2948,4,2948,4,4.000000
251,2948,4,2948,6,2948,4,4.666667
252,2948,4,2948,4,2948,4,4.000000
253,2948,4,2948,4,2948,5,4.333333
254,2948,5,2948,6,2948,6,5.666667
255,2948,6,2948,7,2948,5,6.000000
256,2948,4,2948,6,2948,6,5.333333
257,2948,4,2948,5,2948,5,4.666667
258,2948,6,2948,4,2948,4,4.666667
259,2948,5,2948,6,2948,5,5.333333
260,3039,5,3039,4,3039,4,4.333333
261,3039,5,3039,5,3039,4,4.666667
262,3039,6,3039,4,3039,5,5.000000
263,3039,4,3039,5,3039,4,4.333333
264,3039,5,3039,5,3039,4,4.666667
265,3039,4,3039,4,3039,3,3.666667
266,3039,5,3039,4,3039,4,4.333333
267,3039,5,3039,4,3039,4,4.333333
268,3039,6,3039,6,3039,4,5.333333
269,3039,4,3039,5,3039,3,4.000000
270,3039,5,3039,4,3039,4,4.333333
271,3039,5,3039,4,3039,4,4.333333
272,3039,5,3039,5,3039,6,5.333333
273,3039,5,3039,8,3039,6,6.333333
274,3039,6,3039,6,3039,5,5.666667
275,3039,7,3039,7,3039,4,6.000000
276,3039,4,3039,4,3039,4,4.000000
277,3039,6,3039,8,3039,8,7.333333
278,3039,8,3039,8,3039,7,7.666667
279,3039,6,3039,4,3039,4,4.666667
280,3039,9,3039,9,3039,7,8.333333
281,3039,9,3039,8,3039,9,8.666667
282,3039,8,3039,7,3039,7,7.333333
283,3039,9,3039,7,3039,5,7.000000
