n,Dynamic Programming Memoization,,,,,,,,Dynamic Programming Tabulation,,,,,,,
,Computation 1,Retrieval 1,Computation 2,Retrieval 2,Computation 3,Retrieval 3,Average Computation,Average Retrieval,Computation 1,Retrieval 1,Computation 2,Retrieval 2,Computation 3,Retrieval 3,Average Computation,Average Retrieval
100,38445,5764,34355,5493,35479,4037,36093,5098,31572,131572,33887,133887,29260,129260,31573,131573
200,116632,21166,112361,22887,98206,15475,109066,19842,60961,260961,63911,263911,54775,254775,59882,259882
300,177005,36319,168871,33910,178448,30247,174774,33492,89011,389011,89535,389535,79438,379438,85994,385994
400,240586,48127,263440,54964,275061,51862,259695,51651,112168,512168,121983,521983,112693,512693,115614,515614
500,317613,60786,343438,73107,345957,67845,335669,67246,137739,637739,150306,650306,140761,640761,142935,642935
600,407311,78663,409748,87724,419732,80904,412263,82430,165804,765804,175468,775468,165948,765948,169073,769073
700,507621,101733,503364,109664,502614,101504,504533,104300,195937,895937,199871,899871,195680,895680,197162,897162
800,593256,123789,594787,128083,611755,131964,599932,127945,225541,1025541,226658,1026658,228570,1028570,226923,1026923
900,651995,136350,683854,150446,678871,146554,671573,144450,253860,1153860,260811,1160811,255195,1155195,256622,1156622
1000,748796,155635,767730,172983,746882,159472,754469,162696,282669,1282669,290861,1290861,281120,1281120,284883,1284883
1100,851478,183890,832359,185882,849688,181626,844508,183799,310686,1410686,317755,1417755,313437,1413437,313959,1413959
1200,931135,199675,925336,209126,926567,203141,927679,203980,338862,1538862,343889,1543889,342664,1542664,341805,1541805
1300,1028864,225241,1013959,228739,988396,212855,1010406,222278,367662,1667662,375673,1675673,367298,1667298,370211,1670211
1400,1095964,243208,1088922,244713,1066160,228072,1083682,238664,395525,1795525,397886,1797886,396848,1796848,396753,1796753
1500,1171364,256067,1191020,268167,1168949,254023,1177111,259419,422016,1922016,428866,1928866,421559,1921559,424147,1924147
1600,1244905,270874,1272092,285909,1260145,274898,1259047,277227,444216,2044216,460653,2060653,445079,2045079,449982,2049982
1700,1331338,286793,1334260,300417,1328460,286101,1331352,291103,473409,2173409,484465,2184465,468839,2168839,475571,2175571
1800,1428836,311614,1435232,322773,1441305,312534,1435124,315640,503385,2303385,513948,2313948,500729,2300729,506020,2306020
1900,1518710,333592,1524222,343979,1513555,328998,1518829,335523,531734,2431734,540894,2440894,528068,2428068,533565,2433565
2000,1628540,364384,1604184,364342,1598766,345342,1610496,358022,562068,2562068,566793,2566793,555950,2555950,561603,2561603
2100,1698257,379310,1732615,402171,1679287,365645,1703386,382375,590590,2690590,602072,2702072,584744,2684744,592468,2692468
2200,1792500,400716,1833815,432636,1768395,384608,1798236,405986,618747,2818747,636384,2836384,611780,2811780,622303,2822303
2300,1864807,419994,1906716,455065,1837258,398567,1869593,424542,643360,2943360,663742,2963742,640449,2940449,649183,2949183
2400,1988667,453031,2003616,476565,1967473,433102,1986585,454232,677865,3077865,695801,3095801,670862,3070862,681509,3081509
