n,Dynamic Programming Memoization,,,,,,,,Dynamic Programming Tabulation,,,,,,,
,Computation 1,Retrieval 1,Computation 2,Retrieval 2,Computation 3,Retrieval 3,Average Computation,Average Retrieval,Computation 1,Retrieval 1,Computation 2,Retrieval 2,Computation 3,Retrieval 3,Average Computation,Average Retrieval
100,38445,5764,34355,5493,35479,4037,36093,5098,100000,131572,100000,133887,100000,129260,100000,131573
200,116632,21166,112361,22887,98206,15475,109066,19842,200000,260961,200000,263911,200000,254775,200000,259882
300,177005,36319,168871,33910,178448,30247,174774,33492,300000,389011,300000,389535,300000,379438,300000,385994
400,240586,48127,263440,54964,275061,51862,259695,51651,400000,512168,400000,521983,400000,512693,400000,515614
500,317613,60786,343438,73107,345957,67845,335669,67246,500000,637739,500000,650306,500000,640761,500000,642935
600,407311,78663,409748,87724,419732,80904,412263,82430,600000,765804,600000,775468,600000,765948,600000,769073
700,507621,101733,503364,109664,502614,101504,504533,104300,700000,895937,700000,899871,700000,895680,700000,897162
800,593256,123789,594787,128083,611755,131964,599932,127945,800000,1025541,800000,1026658,800000,1028570,800000,1026923
900,651995,136350,683854,150446,678871,146554,671573,144450,900000,1153860,900000,1160811,900000,1155195,900000,1156622
1000,748796,155635,767730,172983,746882,159472,754469,162696,1000000,1282669,1000000,1290861,1000000,1281120,1000000,1284883
1100,851478,183890,832359,185882,849688,181626,844508,183799,1100000,1410686,1100000,1417755,1100000,1413437,1100000,1413959
1200,931135,199675,925336,209126,926567,203141,927679,203980,1200000,1538862,1200000,1543889,1200000,1542664,1200000,1541805
1300,1028864,225241,1013959,228739,988396,212855,1010406,222278,1300000,1667662,1300000,1675673,1300000,1667298,1300000,1670211
1400,1095964,243208,1088922,244713,1066160,228072,1083682,238664,1400000,1795525,1400000,1797886,1400000,1796848,1400000,1796753
1500,1171364,256067,1191020,268167,1168949,254023,1177111,259419,1500000,1922016,1500000,1928866,1500000,1921559,1500000,1924147
1600,1244905,270874,1272092,285909,1260145,274898,1259047,277227,1600000,2044216,1600000,2060653,1600000,2045079,1600000,2049982
1700,1331338,286793,1334260,300417,1328460,286101,1331352,291103,1700000,2173409,1700000,2184465,1700000,2168839,1700000,2175571
1800,1428836,311614,1435232,322773,1441305,312534,1435124,315640,1800000,2303385,1800000,2313948,1800000,2300729,1800000,2306020
1900,1518710,333592,1524222,343979,1513555,328998,1518829,335523,1900000,2431734,1900000,2440894,1900000,2428068,1900000,2433565
2000,1628540,364384,1604184,364342,1598766,345342,1610496,358022,2000000,2562068,2000000,2566793,2000000,2555950,2000000,2561603
2100,1698257,379310,1732615,402171,1679287,365645,1703386,382375,2100000,2690590,2100000,2702072,2100000,2684744,2100000,2692468
2200,1792500,400716,1833815,432636,1768395,384608,1798236,405986,2200000,2818747,2200000,2836384,2200000,2811780,2200000,2822303
2300,1864807,419994,1906716,455065,1837258,398567,1869593,424542,2300000,2943360,2300000,2963742,2300000,2940449,2300000,2949183
2400,1988667,453031,2003616,476565,1967473,433102,1986585,454232,2400000,3077865,2400000,3095801,2400000,3070862,2400000,3081509
2500,2083873,479044,2075869,494792,2039657,453763,2066466,475866,2500000,3206954,2500000,3225653,2500000,3199655,2500000,3210754
2600,2172753,501665,2191081,528554,2134284,476707,2166039,502308,2600000,3335081,2600000,3355515,2600000,3330515,2600000,3340370
2700,2249466,520803,2260849,548856,2247187,512648,2252500,527435,2700000,3467017,2700000,3488133,2700000,3466462,2700000,3473870
2800,2313695,532719,2355272,570568,2311801,528389,2326922,543892,2800000,3589879,2800000,3619944,2800000,3593415,2800000,3601079
2900,2428402,559373,2448469,595616,2438755,562384,2438542,572457,2900000,3718544,2900000,3747394,2900000,3722889,2900000,3729609
3000,2504812,580590,2531362,618360,2521657,586435,2519277,595128,3000000,3847704,3000000,3877122,3000000,3850553,3000000,3858459
