n,value 1,time 1,value 2,time 2,value 3,time 3,average time
10,374,26,374,12,374,10,16
11,374,20,374,11,374,10,13.666666666666666
12,430,19,430,10,430,9,12.666666666666666
13,430,21,430,11,430,10,14
14,430,23,430,18,430,13,18
15,430,27,430,14,430,13,18
16,760,36,760,41,760,34,37
17,760,35,760,61,760,17,37.666666666666664
18,760,20,760,17,760,17,18
19,760,17,760,17,760,19,17.666666666666668
20,760,21,760,21,760,20,20.666666666666668
21,1035,36,1035,24,1035,25,28.333333333333332
22,1088,31,1088,44,1088,31,35.333333333333336
23,1088,33,1088,39,1088,41,37.666666666666664
24,1088,31,1088,30,1088,39,33.333333333333336
25,1088,39,1088,36,1088,57,44
26,1359,52,1359,61,1359,49,54
27,1359,58,1359,57,1359,58,57.666666666666664
28,1359,57,1359,56,1359,56,56.333333333333336
29,1359,64,1359,64,1359,64,64
30,1359,71,1359,69,1359,68,69.33333333333333
31,1548,105,1548,92,1548,102,99.66666666666667
32,1548,89,1548,129,1548,91,103
33,1548,96,1548,89,1548,119,101.33333333333333
34,1548,106,1548,121,1548,120,115.66666666666667
35,1548,108,1548,109,1548,119,112
36,1548,107,1548,118,1548,111,112
37,1548,111,1548,239,1548,125,158.33333333333334
38,1729,184,1729,228,1729,283,231.66666666666666
39,1729,235,1729,262,1729,191,229.33333333333334
40,1729,160,1729,167,1729,223,183.33333333333334
41,1729,236,1729,169,1729,165,190
42,1729,215,1729,241,1729,215,223.66666666666666
43,1729,243,1729,262,1729,244,249.66666666666666
44,1729,280,1729,246,1729,278,268
45,1896,322,1896,321,1896,314,319
46,1896,310,1896,311,1896,317,312.6666666666667
47,1896,576,1896,392,1896,392,453.3333333333333
48,1896,480,1896,398,1896,445,441
49,1896,442,1896,382,1896,438,420.6666666666667
50,1896,539,1896,447,1896,472,486
