n,Dynamic Programming Memoization,,,,,,,Dynamic Programming Tabulation,,,,,,,Greedy Highest Value,,,,,,,,Greedy Smallest Weight,,,,,,,,Greedy Greatest Worth Ratio,,,,,,,
,Value 1,Time 1,Value 2,Time 2,Value 3,Time 3,Avg Time,Value 1,Time 1,Value 2,Time 2,Value 3,Time 3,Avg Time,Value 1,Time 1,Value 2,Time 2,Value 3,Time 3,Avg Time,Avg % Error,Value 1,Time 1,Value 2,Time 2,Value 3,Time 3,Average Time,Avg % Error,Value 1,Time 1,Value 2,Time 2,Value 3,Time 3,Average Time,Avg % Error
100,2550,392,2201,302,2299,273,322,2550,183,2201,210,2299,188,193,1409,4,496,2,1415,3,3,53.55%,2199,2,2187,2,2031,2,2,8.69%,2472,1,2201,1,2221,1,1,2.15%
200,3179,784,2948,1072,2539,807,887,3179,500,2948,450,2539,380,443,1896,5,1477,6,1415,5,5,44.84%,2793,4,2274,4,2186,4,4,16.30%,3108,3,2801,2,2421,2,2,3.96%
300,3234,1282,2948,1437,2910,1406,1375,3234,639,2948,605,2910,597,613,1465,7,1477,7,1457,7,7,51.51%,2182,6,2274,6,2299,6,6,25.46%,3108,3,2801,3,2777,3,3,4.48%
400,3368,1763,3178,1959,3339,1928,1883,3368,842,3178,870,3339,1011,907,1465,10,1974,9,1482,9,9,50.00%,2182,8,2525,7,2060,8,7,31.36%,3314,4,3108,3,3152,3,3,3.14%
500,3368,2359,3432,2527,3575,2496,2460,3368,990,3432,1090,3575,1113,1064,1465,11,1983,11,1488,10,10,52.37%,2063,10,2977,9,2060,9,9,31.46%,3314,4,3250,4,3468,4,4,3.30%
600,3368,4021,3432,3090,3709,3112,3407,3368,1356,3432,1398,3709,1378,1377,1465,15,1983,15,1495,14,14,52.81%,2063,12,2819,13,2008,12,12,34.16%,3314,5,3250,5,3709,5,5,2.30%
700,3539,3818,3539,3853,3709,4191,3954,3539,1506,3539,1359,3709,1598,1487,1494,17,1983,16,1496,19,17,53.81%,2063,14,2803,13,1894,15,14,37.15%,3386,6,3485,6,3709,6,6,1.95%
800,3539,4675,3573,4609,3761,5083,4789,3539,1871,3573,1873,3761,1853,1865,1494,20,1989,48,1496,18,28,54.11%,2179,17,2803,19,1900,16,17,36.49%,3386,7,3485,13,3709,6,8,2.72%
900,3539,5021,3657,6097,3761,5405,5507,3539,2191,3657,2405,3761,2259,2285,1494,57,1989,22,1496,21,33,54.54%,2260,20,2871,19,1900,18,19,35.70%,3386,8,3485,8,3709,7,7,3.47%
1000,3561,6249,3813,6314,3761,6172,6245,3561,2697,3813,2513,3761,2763,2657,1494,26,1989,25,1496,26,25,55.37%,1981,23,2874,23,1900,24,23,39.49%,3386,10,3485,13,3709,11,11,4.97%
1100,3635,6581,3813,6511,3769,7235,6775,3635,3432,3813,3351,3769,2759,3180,1000,26,1989,39,1496,26,30,60.21%,2450,25,2874,40,1900,26,30,35.60%,3386,9,3485,14,3709,9,10,5.68%
1200,3691,8970,3940,8451,3784,7217,8212,3691,3587,3940,2877,3784,3302,3255,1002,27,1989,29,1496,26,27,60.95%,2450,25,2860,27,1900,25,25,36.94%,3386,9,3620,9,3709,10,9,6.12%
1300,3691,7673,3940,7937,3784,7896,7835,3691,3190,3940,3433,3784,3216,3279,1002,30,1989,29,1496,31,30,60.95%,2450,28,2753,27,1900,28,27,37.85%,3386,10,3620,11,3709,10,10,6.12%
1400,3700,8795,3940,8859,3784,8235,8629,3700,3313,3940,3288,3784,3685,3428,1002,35,1989,34,1496,76,48,60.97%,2450,32,2753,31,1900,31,31,37.90%,3386,15,3620,11,3709,11,12,6.20%
1500,3700,8738,3940,10184,3784,9232,9384,3700,3689,3940,3743,3784,4053,3828,1002,39,1989,39,1496,40,39,60.97%,2450,34,2753,33,2187,35,34,35.37%,3386,12,3620,12,3709,12,12,6.20%
1600,3756,10178,4039,10472,3825,9678,10109,3756,3865,4039,4357,3825,3871,4031,1002,39,1989,38,1496,38,38,61.66%,2742,34,2818,33,2098,34,33,34.13%,3433,13,3616,13,3709,12,12,7.37%
1700,3775,10304,4039,10458,3825,10593,10451,3775,4256,4039,4360,3825,4230,4282,1002,40,1989,40,1496,39,39,61.70%,2742,36,2818,36,2098,34,35,34.25%,3433,13,3616,13,3709,13,13,7.52%
1800,3838,11564,4039,11876,3981,11641,11693,3838,4179,4039,4286,3981,4201,4222,1002,40,1989,42,1499,53,45,62.33%,2826,38,2640,38,2285,39,38,34.54%,3433,14,3616,14,3714,14,14,9.24%
1900,3838,12279,4039,12194,3981,11951,12141,3838,4736,4039,4954,3981,4761,4817,1002,49,1989,48,1499,49,48,62.33%,2833,47,2640,48,2285,48,47,34.48%,3433,23,3616,21,3714,21,21,9.24%
2000,3979,13129,4094,12808,3981,12719,12885,3979,5500,4094,4864,3981,5042,5135,1002,94,1989,51,1997,52,65,58.69%,3002,51,2640,57,2285,49,52,34.22%,3462,22,3917,23,3714,23,22,8.01%
2100,3979,13731,4094,13793,3981,13110,13544,3979,5533,4094,5179,3981,5426,5379,1002,80,1989,51,1997,51,60,58.69%,3002,70,2377,46,2285,47,54,36.37%,3462,28,3917,20,3714,16,21,8.01%
2200,3979,14985,4094,14515,3981,14424,14641,3979,5573,4094,5405,3981,6026,5668,1002,54,1500,55,1502,62,57,66.82%,3002,51,2377,52,2285,51,51,36.37%,3462,17,3917,18,3714,17,17,8.01%
2300,4094,14981,4120,14943,3981,14107,14677,4094,5982,4120,5742,3981,5626,5783,1002,56,1002,55,1502,54,55,71.16%,3052,58,2377,50,2285,50,52,36.79%,3933,18,3917,18,3714,17,17,5.19%
2400,4198,16240,4120,16360,3981,15600,16066,4198,5746,4120,5709,3981,6268,5907,1002,52,1002,58,1502,55,55,71.36%,3052,52,2377,68,2285,50,56,37.40%,4014,19,3917,19,3714,18,18,5.34%
2500,4198,18057,4120,16544,3981,16029,16876,4198,5952,4120,6347,3981,6092,6130,1002,59,1002,65,1502,62,62,71.36%,3052,64,2377,70,2342,61,65,36.93%,4014,18,3917,25,3714,23,22,5.34%
2600,4198,19958,4167,17907,3981,16533,18132,4198,6379,4167,6515,3981,6219,6371,1002,60,1002,63,1502,61,61,71.45%,3052,56,2377,56,2342,56,56,37.14%,4014,24,4007,25,3714,24,24,4.98%
2700,4198,19022,4170,17988,4054,17796,18268,4198,6691,4170,6599,4054,6808,6699,1002,88,1002,68,1502,64,73,71.68%,3009,65,2377,62,2342,59,62,37.85%,4014,24,4054,22,3707,25,23,5.24%
